"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    ,    "Sens_Geo"    ,    "Sens_AoA"    ,    "Sens_Mach"   ,   "Sens_Press"   ,    "Sens_Temp"   
          0,           0,           0,       2.917641958,     0.06902358432,     -0.9350141364,                 0,      -3.066723462,       129.6717118,       12.32760044,       -4.64311196,   0.0002746246626,     -0.2109565911
          0,           0,           1,       7.063257526,        4.17519177,       4.350189237,                 0,      0.9829993764,      -16284.82106,        6.35716048,       147.1866083,    0.002206973272,       3.546809546
          0,           0,           2,       7.252755191,       4.311035797,       4.466955779,                 0,        1.12877477,        18988.6377,       3.103188777,       54.31381099,    0.001458695469,      0.8631211269
          0,           0,           3,       7.297857011,       4.374588746,       4.538278432,                 0,       1.213581651,       10000.09765,       4.244779872,       51.10128416,   0.0005284243754,       1.068026467
          0,           0,           4,         7.3151478,       4.402757136,       4.572559598,                 0,        1.22983354,      -427.5669804,       -68.4359996,      -303.8918039,   -0.005646262536,      -6.890630227
          0,           0,           5,       7.667184203,       4.774543745,       4.950826045,                 0,       1.622910306,      -11420.64302,       23.00311664,       221.3685626,    0.005364658901,       4.363554537
          0,           0,           6,       7.617905128,       4.691929631,       4.876031657,                 0,       1.514336911,      -11105.57818,      -49.29599842,       -62.8097446,   -3.96115925e-06,      -2.111512019
          0,           0,           7,       7.772983485,       4.881764555,       5.052179413,                 0,       1.790068361,      -10950.98876,       23.83827555,       185.8198343,    0.003972349018,       3.866276968
          0,           0,           8,       7.706196195,       4.783181373,       4.964623071,                 0,       1.644253683,        52758.7996,      -15.77594941,       126.4791776,    0.001360700205,        3.13208234
          0,           0,           9,       7.684790247,       4.770069153,        5.00447577,                 0,       1.645188239,       52624.70816,       4.778921419,       375.7619015,    0.005358038406,       8.906757104
          0,           0,          10,       7.651376092,       4.746107041,       4.985969123,                 0,        1.63061435,       66876.27334,      -63.90876099,       339.5132494,    0.002604993579,       9.092066877
          0,           0,          11,       7.751520069,       4.858661129,       5.081810701,                 0,       1.749646324,       70156.00211,       12.20943672,       349.4930419,    0.006360773459,        7.93742061
          0,           0,          12,       7.761863056,       4.851743134,       5.082578754,                 0,        1.72225502,       69495.84063,       66.67211773,       422.2467144,    0.007957139114,       9.443771488
          0,           0,          13,       7.777708714,       4.862319048,       5.085967751,                 0,        1.72306743,       69394.42477,      -25.05202162,      -148.1969985,   -0.002746257276,      -3.633515903
          0,           0,          14,        8.02106752,       5.193281923,       5.363838048,                 0,       2.111217702,       92223.48408,       48.85984808,       407.9262948,    0.004880321534,       10.20668328
