"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 8.188702259509549e-01, 1.103774819484292e+03, 1.624263548119283e+02, 1.180258969980585e+06, 1.680990868102308e+05, 7.151227905501106e+02, 2.541430948179236e+00, 3.765765707813236e-02
1, 9.990000128750000e-01, -1.452537504052920e-04, 8.124176596318865e-01, 1.091674755942198e+03, 1.587442964952097e+02, 1.169515257858050e+06, 1.682179516540882e+05, 7.213122876765231e+02, 2.522011896240746e+00, 3.772469163813090e-02
2, 9.977599978450000e-01, -3.251111630156300e-04, 8.104645313289714e-01, 1.087470001489090e+03, 1.574494247205023e+02, 1.166046533200496e+06, 1.684706392945442e+05, 7.241366954111392e+02, 2.513211803200195e+00, 3.786719638760379e-02
3, 9.960200190539999e-01, -5.769983605901485e-04, 8.131745244211238e-01, 1.091778294866987e+03, 1.578525219942773e+02, 1.170196386974781e+06, 1.687830832036879e+05, 7.230619314547841e+02, 2.516556001455833e+00, 3.804340105244813e-02
4, 9.937800168990000e-01, -9.004365425509819e-04, 8.139703573934511e-01, 1.092444962150850e+03, 1.574937318889968e+02, 1.171159092590346e+06, 1.691308026527774e+05, 7.238431450410231e+02, 2.514124662910603e+00, 3.823949957507453e-02
5, 9.910500049590000e-01, -1.293363843462116e-03, 8.156242934169108e-01, 1.094456471171007e+03, 1.572443766794969e+02, 1.173427537831446e+06, 1.695857411644085e+05, 7.243184142049994e+02, 2.512646919573584e+00, 3.849606494767675e-02
6, 9.878399968150000e-01, -1.753609743384430e-03, 8.174462139201008e-01, 1.096620509893716e+03, 1.569208199524195e+02, 1.175904004206850e+06, 1.701092632275906e+05, 7.249350903190242e+02, 2.510731097966296e+00, 3.879130843613021e-02
7, 9.841300249100000e-01, -2.283176811071472e-03, 8.196828137105345e-01, 1.099329926392760e+03, 1.565585411961157e+02, 1.178966530853379e+06, 1.707295385416789e+05, 7.255931639914854e+02, 2.508688648307770e+00, 3.914111651569783e-02
8, 9.799500107769999e-01, -2.876826092032643e-03, 8.221008869160572e-01, 1.102209339692419e+03, 1.561440235746842e+02, 1.182257490947226e+06, 1.714201968037506e+05, 7.263855864003351e+02, 2.506231933957318e+00, 3.953061749180539e-02
9, 9.752799868580000e-01, -3.536324145770189e-03, 8.247817181836059e-01, 1.105389929375786e+03, 1.556764867033961e+02, 1.185901508380987e+06, 1.721904565111145e+05, 7.272779100986824e+02, 2.503469031393520e+00, 3.996501019272609e-02
10, 9.701499938960000e-01, -4.256268552403566e-03, 8.278189356534698e-01, 1.109028355785390e+03, 1.551770527390438e+02, 1.190045446909667e+06, 1.730476238217012e+05, 7.282166915434829e+02, 2.500566308659133e+00, 4.044841497117548e-02
11, 9.645400047300000e-01, -5.038225493362627e-03, 8.310177493259187e-01, 1.112802894267147e+03, 1.546184055799352e+02, 1.194386636341282e+06, 1.739736260669555e+05, 7.292953775757318e+02, 2.497236078284945e+00, 4.097063963453133e-02
12, 9.584699869160000e-01, -5.878077433056352e-03, 8.345739113506241e-01, 1.117039607655352e+03, 1.540288952048925e+02, 1.199230588296659e+06, 1.749852780711884e+05, 7.304105755551738e+02, 2.493798810971590e+00, 4.154116700641554e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 8.383074404316952e-01, 1.121441074292401e+03, 1.533869335873138e+02, 1.204297809441882e+06, 1.760657148446630e+05, 7.316473751489859e+02, 2.489993475189423e+00, 4.215048597210562e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 8.423334204919517e-01, 1.126203983017970e+03, 1.527095847130886e+02, 1.209769895486785e+06, 1.772228386907502e+05, 7.329359124577380e+02, 2.486036451383443e+00, 4.280305308420580e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 8.465643240152195e-01, 1.131182606393900e+03, 1.519861677469711e+02, 1.215510581247325e+06, 1.784487915382289e+05, 7.343176958179999e+02, 2.481801533615565e+00, 4.349443673510495e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 8.510476196195584e-01, 1.136458851503022e+03, 1.512258072027750e+02, 1.221595255497284e+06, 1.797463467619444e+05, 7.357606486298973e+02, 2.477388438786658e+00, 4.422620098660995e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 8.557503249495221e-01, 1.141972915249300e+03, 1.504247160814063e+02, 1.227970812379817e+06, 1.811143008609826e+05, 7.372860491806902e+02, 2.472733457946436e+00, 4.499766711697584e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 8.607058204307942e-01, 1.147782677325137e+03, 1.495915505183244e+02, 1.234690525473340e+06, 1.825543451452362e+05, 7.388695686432560e+02, 2.467912222513437e+00, 4.580978895082229e-02
