"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 4.302484714467697e+05, -1.180282937732798e+03, 2.263388033468979e+03, 4.751941450273233e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.822274950451254e+02
1, 9.990000128750000e-01, -1.452537504052920e-04, 5.502173254037834e+05, -9.536481204491032e+02, 1.202541029138346e+03, 4.243427979824279e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.617126745757001e+02
2, 9.977599978450000e-01, -3.251111630156300e-04, 9.568637680974549e+05, -1.342695630383810e+03, 6.208945478205177e+02, 7.040159521554552e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.227125459205760e+02
3, 9.960200190539999e-01, -5.769983605901485e-04, 8.743711746399147e+05, -9.103253978949155e+02, -2.014045355318782e+03, 8.910421996391512e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.663432391882692e+02
4, 9.937800168990000e-01, -9.004365425509819e-04, 8.295675010467991e+05, -8.994684172498537e+02, -2.179721978008648e+03, 1.105821507889592e+00, 0.000000000000000e+00, 0.000000000000000e+00, -9.482815579870767e+01
5, 9.910500049590000e-01, -1.293363843462116e-03, 8.091297336554000e+05, -7.444477025348867e+02, -1.545790601950855e+03, 8.950528165139072e-01, 0.000000000000000e+00, 0.000000000000000e+00, -6.362684609379049e+01
6, 9.878399968150000e-01, -1.753609743384430e-03, 7.927521346822768e+05, -8.741027098355082e+02, -1.826302869435161e+03, 1.174635994516341e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.068989150664952e+02
7, 9.841300249100000e-01, -2.283176811071472e-03, 8.161886318000105e+05, -8.185894703467272e+02, -7.200375783598565e+02, 4.502576050036422e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.612435418666881e+02
8, 9.799500107769999e-01, -2.876826092032643e-03, 3.124159991162422e+05, -5.872045740743391e+02, -4.526064078134237e+02, 4.939636355344635e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.739126255430099e+01
9, 9.752799868580000e-01, -3.536324145770189e-03, 2.922648354594499e+05, -5.816107055621222e+02, -1.701341063225235e+02, 4.347434514168416e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.197905105589837e+01
10, 9.701499938960000e-01, -4.256268552403566e-03, 6.360662850211023e+05, -1.018182172904103e+03, -9.590045261010684e+02, 8.507210735379818e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.085578328012683e+02
11, 9.645400047300000e-01, -5.038225493362627e-03, -9.816186435601958e+05, 2.540841011933235e+03, 2.147778287188039e+03, -2.882920267686902e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.945311092926195e+02
12, 9.584699869160000e-01, -5.878077433056352e-03, -9.120743766786508e+05, 7.442328680747157e+02, 2.689192507192313e+02, -3.618947693335710e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.309267177648415e+02
13, 9.519400000570000e-01, -6.774428848839826e-03, -5.568230115403098e+05, 9.261383661726184e+02, 1.962480557784573e+03, -1.057338253938525e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.013378853666466e+02
14, 9.449599981310000e-01, -7.724467125531491e-03, -9.921153572224311e+05, 2.159476873935205e+03, 2.373603540864454e+03, -2.364179106515449e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.832200219076419e+02
15, 9.375399947170000e-01, -8.725349486403867e-03, -7.154364595357594e+05, 3.020585312205801e+03, -1.085831325706602e+03, -3.181376210619325e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.120851520841946e+00
16, 9.296900033950000e-01, -9.774221272349531e-03, -7.742950027474177e+05, 1.426001169874763e+03, 5.779461631214217e+02, -1.348789370945718e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.555275412773901e+02
17, 9.214000105860000e-01, -1.087086069705918e-02, -6.161363515925466e+05, 9.825616999690783e+02, -1.489324599317503e+03, -6.040941010838736e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.415429448805323e+02
18, 9.126999974250000e-01, -1.200973104171110e-02, -3.894605729472057e+05, 1.223967694822518e+03, -1.202941238095422e+03, -1.076913459594802e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.574449325947544e+02
19, 9.035800099370001e-01, -1.319055953446835e-02, -2.686971803838139e+05, 7.868979566416601e+01, -5.888550473300876e+03, 8.582487429989811e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.022915307114452e+03
20, 8.940600156780000e-01, -1.440916392228702e-02, -2.775457213447026e+05, -1.736689590161964e+03, -2.034411211437247e+03, 2.709625113396258e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.091957635361467e+03
21, 8.841500282290000e-01, -1.566269158090452e-02, -7.006052348220954e+04, -5.470361109523601e+03, -1.220560934561557e+04, 8.370799338824792e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.994056290450132e+02
22, 8.738499879840000e-01, -1.694956337677533e-02, -6.730136718328136e+05, -3.501539881055401e+03, -1.718858956427121e+03, 4.999449479083081e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.221489255364482e+03
23, 8.631799817090000e-01, -1.826569132102762e-02, 2.866858240561150e+05, 1.464557024231742e+04, 3.126792937799656e+04, -2.247931392378336e+01, 0.000000000000000e+00, 0.000000000000000e+00, 6.191419400233361e+03
24, 8.521599769590000e-01, -1.960709133914372e-02, 3.838372601840787e+05, 1.387586464998071e+04, 9.447720677895886e+03, -1.908156667652962e+01, 0.000000000000000e+00, 0.000000000000000e+00, 7.332097336042198e+02
25, 8.407700061800000e-01, -2.097463226217677e-02, 9.773296104874043e+04, 2.234587344338491e+04, 7.610517319280125e+03, -2.959118456746581e+01, 0.000000000000000e+00, 0.000000000000000e+00, 4.309411949979887e+03
26, 8.290500044819999e-01, -2.236196298315981e-02, 9.230986849378701e+04, 2.895697046906570e+04, 1.991306560407083e+04, -3.963716734965196e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.037025199320661e+03
27, 8.170099854470000e-01, -2.376642068849115e-02, 2.604899058405290e+05, 3.506359057376040e+04, 2.136352417558314e+04, -4.824481133667878e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.175667983495664e+03
28, 8.046399950980000e-01, -2.518763605296113e-02, 7.001432623813848e+04, 3.028794817335413e+04, 2.107464967632470e+04, -4.130045165174615e+01, 0.000000000000000e+00, 0.000000000000000e+00, -3.770121012302928e+02
29, 7.919700145720000e-01, -2.662062628442961e-02, 5.050921881140093e+04, 3.823161727359786e+04, 3.054380884626152e+04, -5.218560388577012e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.859629886713604e+03
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.835196022255246e+05, 3.967291326761457e+04, 1.810301956571608e+04, -5.371903797788273e+01, 0.000000000000000e+00, 0.000000000000000e+00, -6.483464738189840e+03
31, 7.657799720760000e-01, -2.951033727360171e-02, -5.545102778605239e+05, 1.843279620729882e+04, -5.291891434128065e+04, -1.598482507763709e+01, 0.000000000000000e+00, 0.000000000000000e+00, -4.358950437964604e+03
32, 7.522799968720000e-01, -3.096181144522562e-02, 4.060708135130592e+05, 2.148479145508806e+04, -4.483598897273697e+04, -2.155646559935730e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.693239653583496e+03
33, 7.385200262070000e-01, -3.241453277608040e-02, -2.417505384291190e+05, 2.704056591438720e+04, -3.703752165394944e+04, -2.905316122838762e+01, 0.000000000000000e+00, 0.000000000000000e+00, -9.834386618015916e+02
34, 7.245299816130000e-01, -3.386376679305321e-02, -6.770948981251729e+05, 1.741383074726419e+04, -2.543802900094014e+04, -1.755332988644055e+01, 0.000000000000000e+00, 0.000000000000000e+00, -1.954839041000824e+03
35, 7.103199958800001e-01, -3.530689307158652e-02, 8.520887302960900e+05, 1.903043651654803e+04, -4.635900766345586e+04, -1.877976664164779e+01, 0.000000000000000e+00, 0.000000000000000e+00, -5.354835673950039e+03
36, 6.958900094030001e-01, -3.674225211597043e-02, 2.003158377217485e+05, 8.434699030520109e+03, -6.021745669152886e+04, -2.421333204240122e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.110668802233112e+04
37, 6.812700033190000e-01, -3.816515293304169e-02, -3.269537175088817e+05, -7.684483125719817e+03, -8.569176063534773e+04, 2.282179220514340e+01, 0.000000000000000e+00, 0.000000000000000e+00, -3.720622076590415e+03
38, 6.664699912070000e-01, -3.957289370556494e-02, -4.728496739523411e+05, -1.046802521367373e+04, -8.930960663152864e+04, 2.732284897034191e+01, 0.000000000000000e+00, 0.000000000000000e+00, 7.517800355512828e+04
39, 6.514999866490000e-01, -4.096270419333766e-02, 6.698020226884225e+05, 1.405693678897251e+05, 2.932568151808964e+05, -2.265738925497558e+02, 0.000000000000000e+00, 0.000000000000000e+00, 4.706602511079409e+04
40, 6.363800168040000e-01, -4.233084266562091e-02, 8.136441661324188e+05, 1.178967314574055e+05, 2.341420334689444e+05, -1.887597711004683e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.767767382424121e+03
