illuminance,timestamp [ns]
1827419,1658408567692735494
1828602,1658408567700694494
1829004,1658408567704768494
1829280,1658408567708750494
1829128,1658408567712729494
1827183,1658408567720702494
1828780,1658408567725122494
1827468,1658408567728703494
1827620,1658408567732858494
1828508,1658408567740682494
1828135,1658408567744700494
1828182,1658408567748717494
1827898,1658408567753078494
1828559,1658408567760747494
1828052,1658408567764748494
1827963,1658408567768688494
1828985,1658408567772740494
1827697,1658408567780721494
1829264,1658408567784665494
1829590,1658408567788774494
1829768,1658408567792689494
1829965,1658408567800765494
1828666,1658408567804721494
1828838,1658408567808693494
1829822,1658408567812731494
1830367,1658408567820695494
1830714,1658408567824711494
1829230,1658408567828890494
1829530,1658408567832617494
1829913,1658408567840573494
1829041,1658408567844613494
1828309,1658408567848682494
1828547,1658408567852692494
1829319,1658408567860579494
1829157,1658408567864690494
1829989,1658408567868728494
1830869,1658408567872790494
1830114,1658408567880596494
1829538,1658408567884704494
1830724,1658408567888697494
1830060,1658408567896808494
1830206,1658408567900701494
1830685,1658408567904702494
1830388,1658408567908610494
1830647,1658408567916620494
1832127,1658408567920715494
1832035,1658408567924690494
1831180,1658408567928708494
1830664,1658408567936697494
1831888,1658408567940696494
1830710,1658408567944697494
1832125,1658408567948723494
1830564,1658408567956806494
1831046,1658408567960712494
1831245,1658408567964779494
1831793,1658408567968711494
1833261,1658408567976619494
1831811,1658408567980779494
1831774,1658408567984678494
1832454,1658408567988923494
1829903,1658408567996729494
1831661,1658408568000717494
1831395,1658408568004702494
1830810,1658408568008918494
1830646,1658408568016706494
1831706,1658408568020701494
1832345,1658408568024705494
1829762,1658408568028691494
1830815,1658408568036681494
1830879,1658408568040686494
1829063,1658408568044693494
1831351,1658408568048686494
1830442,1658408568056693494
1830001,1658408568060703494
1830504,1658408568064783494
1831281,1658408568068718494
1830558,1658408568076697494
1830658,1658408568080716494
1831200,1658408568084723494
1832203,1658408568088855494
1830640,1658408568096764494
1830644,1658408568100605494
1830728,1658408568104700494
1831548,1658408568108693494
1829846,1658408568116574494
1831492,1658408568120598494
1831356,1658408568124701494
1830684,1658408568128715494
1830149,1658408568136591494
1830801,1658408568140614494
1828948,1658408568144806494
1830120,1658408568148713494
1830829,1658408568156578494
1830379,1658408568160667494
