illuminance,timestamp [ns]
1818273,1658408566541974731
1819085,1658408566546093731
1818967,1658408566550106731
1819142,1658408566558125731
1820347,1658408566562074731
1820046,1658408566566095731
1820023,1658408566570086731
1821640,1658408566578076731
1821345,1658408566581916731
1821713,1658408566586066731
1821841,1658408566590117731
1822375,1658408566598338731
1822306,1658408566601891731
1822036,1658408566605937731
1822270,1658408566610009731
1822488,1658408566618270731
1822407,1658408566622070731
1823309,1658408566626934731
1823575,1658408566630557731
1823480,1658408566637900731
1823538,1658408566642226731
1824126,1658408566646258731
1823891,1658408566650114731
1824127,1658408566657890731
1825152,1658408566662058731
1824377,1658408566666061731
1825166,1658408566669953731
1825492,1658408566677966731
1825251,1658408566681958731
1825491,1658408566686261731
1825045,1658408566690058731
1825310,1658408566698452731
1825557,1658408566702142731
1824613,1658408566706303731
1825631,1658408566710108731
1825941,1658408566718278731
1825972,1658408566722047731
1826611,1658408566726103731
1826324,1658408566730107731
1825898,1658408566738278731
1825961,1658408566742291731
1825126,1658408566746091731
1825423,1658408566750099731
1825674,1658408566758173731
1826741,1658408566762111731
1825894,1658408566765973731
1826473,1658408566770032731
1827147,1658408566778067731
1827333,1658408566782184731
1826817,1658408566786053731
1826731,1658408566790063731
1827068,1658408566798697731
1827819,1658408566802081731
1827207,1658408566806308731
1828081,1658408566810108731
1828068,1658408566818418731
1828298,1658408566822026731
1828904,1658408566827195731
1829419,1658408566829915731
1828087,1658408566838075731
1827823,1658408566842282731
1828524,1658408566846082731
1828590,1658408566850094731
1827637,1658408566858457731
1827819,1658408566861991731
1828286,1658408566866107731
1828244,1658408566869950731
1828478,1658408566878103731
1828593,1658408566882036731
1828108,1658408566886077731
1828147,1658408566890069731
1828651,1658408566897913731
1828178,1658408566902042731
1828392,1658408566906088731
1829801,1658408566910068731
1828576,1658408566917899731
1828804,1658408566922040731
1828535,1658408566925987731
1828051,1658408566929914731
1828347,1658408566937921731
1828592,1658408566942088731
1828614,1658408566946300731
1828610,1658408566950133731
1829201,1658408566957914731
1829928,1658408566962104731
1829768,1658408566966109731
1828968,1658408566970039731
1830544,1658408566978694731
1830379,1658408566982406731
1829848,1658408566986125731
1829704,1658408566989972731
1829562,1658408566998096731
1829795,1658408567002093731
1829030,1658408567006112731
1829914,1658408567010087731
1829785,1658408567017915731
1829491,1658408567021971731
1829376,1658408567026106731
1829710,1658408567030157731
1829043,1658408567038182731
1829313,1658408567042118731
1828436,1658408567046118731
1828947,1658408567050435731
1828192,1658408567058332731
1828741,1658408567062199731
1828402,1658408567066326731
1828976,1658408567070172731
1829209,1658408567077992731
1829250,1658408567082067731
1829360,1658408567086004731
1828793,1658408567090194731
1829334,1658408567097935731
1829044,1658408567102210731
1828530,1658408567106292731
1829079,1658408567110112731
1828404,1658408567118005731
1828892,1658408567122190731
1829057,1658408567126164731
1829696,1658408567129941731
1828410,1658408567137981731
1829424,1658408567142121731
1829951,1658408567146252731
1830089,1658408567150050731
1829929,1658408567157950731
1831129,1658408567162085731
1829569,1658408567166115731
1828876,1658408567170137731
1829525,1658408567177948731
1829899,1658408567182020731
1829316,1658408567186128731
1829372,1658408567190127731
1829292,1658408567197963731
1829648,1658408567202036731
1828666,1658408567206128731
1829121,1658408567214033731
1828560,1658408567217942731
1828825,1658408567221949731
1830012,1658408567226125731
1830089,1658408567234201731
1828965,1658408567237990731
1829010,1658408567241952731
1829034,1658408567245975731
1829283,1658408567254332731
1828679,1658408567257944731
1829614,1658408567262003731
1828908,1658408567265989731
1829119,1658408567274489731
1829290,1658408567278032731
1829098,1658408567282016731
1828808,1658408567285944731
1827988,1658408567294114731
1828778,1658408567298220731
1828904,1658408567302045731
1828722,1658408567305956731
1829318,1658408567314227731
1827032,1658408567318203731
1827822,1658408567321948731
1828546,1658408567326054731
1828608,1658408567334096731
1828458,1658408567338076731
1828963,1658408567341980731
1828952,1658408567346022731
1828799,1658408567354098731
1827746,1658408567358102731
1829118,1658408567362051731
1828636,1658408567365958731
1828402,1658408567374047731
1829073,1658408567378174731
1829245,1658408567382057731
1829146,1658408567385951731
1828984,1658408567394112731
1828355,1658408567398204731
1828625,1658408567401940731
1828441,1658408567405936731
1829047,1658408567414095731
1828366,1658408567418121731
1828139,1658408567421935731
1828696,1658408567425990731
1829474,1658408567434173731
1829490,1658408567438028731
1829153,1658408567441993731
1829080,1658408567445939731
1828934,1658408567454245731
1828316,1658408567458200731
1829087,1658408567461954731
1829180,1658408567466034731
1829354,1658408567474254731
1829388,1658408567478092731
1828819,1658408567481936731
1828340,1658408567486001731
1827574,1658408567494104731
1828737,1658408567498107731
1828878,1658408567501938731
1828219,1658408567505969731
1829501,1658408567514177731
1828341,1658408567518229731
1828522,1658408567522021731
1829273,1658408567526027731
1829168,1658408567534021731
1828392,1658408567538172731
1829254,1658408567542079731
1829062,1658408567546181731
1827911,1658408567553914731
1828105,1658408567558077731
1829305,1658408567562136731
1828796,1658408567565988731
1828998,1658408567573950731
1829118,1658408567577997731
1829692,1658408567582146731
1829542,1658408567586087731
1829083,1658408567593970731
1828150,1658408567597992731
1828241,1658408567602211731
1827822,1658408567606144731
1829148,1658408567614124731
1828327,1658408567618062731
1828603,1658408567622100731
1828968,1658408567625971731
1829357,1658408567634094731
1827875,1658408567638202731
1828753,1658408567642060731
1829281,1658408567646185731
1828632,1658408567654174731
1828401,1658408567658188731
1829578,1658408567662028731
1828034,1658408567665976731
1828705,1658408567674387731
1829298,1658408567678091731
1828993,1658408567682123731
1827986,1658408567686070731
1828297,1658408567694036731
1828952,1658408567698213731
1829321,1658408567702180731
1828244,1658408567706117731
1829655,1658408567714104731
1829637,1658408567718113731
1829158,1658408567722085731
1829581,1658408567725967731
1829906,1658408567734074731
1828927,1658408567738135731
1829924,1658408567742184731
1829162,1658408567746102731
1829640,1658408567754128731
1828691,1658408567757987731
1829216,1658408567762082731
1829192,1658408567766644731
1829019,1658408567774217731
1829533,1658408567777994731
1829944,1658408567782080731
1829642,1658408567786067731
1829415,1658408567794328731
1829262,1658408567798080731
1829177,1658408567802076731
1828989,1658408567806066731
1829906,1658408567814053731
1829503,1658408567818312731
1829371,1658408567821928731
1830189,1658408567826102731
1830360,1658408567834329731
1829818,1658408567838056731
1829159,1658408567841958731
1830045,1658408567845900731
1829108,1658408567854244731
1828612,1658408567858103731
1829675,1658408567861921731
1828907,1658408567865898731
1829500,1658408567874163731
1829285,1658408567878309731
1830181,1658408567881893731
1828587,1658408567886102731
1828716,1658408567893932731
1829032,1658408567898290731
1829003,1658408567901945731
1827607,1658408567906429731
1829372,1658408567913899731
1828522,1658408567917949731
1829654,1658408567922074731
1830059,1658408567926061731
1829709,1658408567934852731
1829184,1658408567938118731
1829313,1658408567942100731
1828837,1658408567945961731
1829337,1658408567954065731
1828621,1658408567958100731
1828825,1658408567961998731
1828380,1658408567966019731
1828560,1658408567974263731
1829096,1658408567978083731
1828832,1658408567981975731
1828077,1658408567986087731
1827564,1658408567993971731
1827600,1658408567998020731
1827904,1658408568002082731
1827233,1658408568010690731
1828525,1658408568013946731
1827955,1658408568018089731
1828425,1658408568022073731
1829792,1658408568030279731
1829716,1658408568034044731
1828869,1658408568038062731
1828806,1658408568042088731
1828762,1658408568050049731
1828158,1658408568054077731
1827223,1658408568057999731
1828549,1658408568062243731
1827654,1658408568070381731
1827583,1658408568074010731
1827671,1658408568077996731
1828142,1658408568082320731
1828289,1658408568090781731
1828764,1658408568093972731
1828716,1658408568098101731
1828308,1658408568102265731
1828070,1658408568110164731
1829266,1658408568113921731
1828602,1658408568118091731
