illuminance,timestamp [ns]
1320174,1658408566450605731
1320867,1658408566454194731
1321102,1658408566458161731
1321190,1658408566462163731
1321642,1658408566470175731
1321706,1658408566474276731
1319630,1658408566478182731
1319296,1658408566482180731
1320725,1658408566490297731
1320660,1658408566494194731
1320265,1658408566498180731
1320188,1658408566502179731
1319551,1658408566510236731
1318846,1658408566514161731
1319854,1658408566518172731
1320097,1658408566522165731
1319224,1658408566530277731
1319133,1658408566534188731
1320142,1658408566538189731
1319401,1658408566542192731
1318692,1658408566550195731
1319772,1658408566554223731
1319944,1658408566558199731
1319740,1658408566562203731
1319903,1658408566570172731
1320118,1658408566574181731
1320557,1658408566578182731
1319912,1658408566582174731
1319948,1658408566590196731
1318956,1658408566594181731
1318038,1658408566598168731
1319971,1658408566602172731
1319601,1658408566610150731
1319988,1658408566614213731
1321391,1658408566618191731
1320261,1658408566622183731
1320056,1658408566630204731
1319777,1658408566634469731
1320405,1658408566638204731
1319802,1658408566642183731
1319868,1658408566650176731
1320090,1658408566654208731
1319949,1658408566658185731
1319965,1658408566662171731
1320211,1658408566670165731
1319644,1658408566674203731
1319953,1658408566678199731
1318831,1658408566682228731
1320309,1658408566690181731
1317780,1658408566694212731
1318991,1658408566698181731
1320144,1658408566702210731
1319511,1658408566710196731
1319363,1658408566714181731
1320756,1658408566718198731
1320177,1658408566722204731
1319381,1658408566730250731
1318878,1658408566734207731
1320009,1658408566738184731
1318484,1658408566742190731
1318452,1658408566750186731
1318610,1658408566754187731
1318302,1658408566758185731
1318561,1658408566762199731
1319730,1658408566770220731
1319480,1658408566774212731
1319411,1658408566778199731
1319153,1658408566782270731
1319821,1658408566790185731
1319544,1658408566794221731
1319095,1658408566798234731
1320017,1658408566802284731
1319111,1658408566810201731
1319076,1658408566814204731
1320511,1658408566818441731
1320390,1658408566822208731
1319514,1658408566830185731
1318722,1658408566834252731
1318910,1658408566838190731
1318493,1658408566842188731
1318459,1658408566850206731
1319499,1658408566854205731
1318077,1658408566858186731
1318099,1658408566862215731
1319056,1658408566870187731
1319745,1658408566874216731
1319792,1658408566878199731
1318869,1658408566882227731
1319128,1658408566890229731
1317448,1658408566894196731
1317902,1658408566898204731
1318343,1658408566902234731
1317212,1658408566910199731
1317505,1658408566914242731
1318311,1658408566918195731
1318985,1658408566922189731
1319305,1658408566930197731
1317345,1658408566934198731
1318453,1658408566938216731
1317897,1658408566942232731
1317513,1658408566950248731
1317670,1658408566954252731
1317730,1658408566958212731
1317340,1658408566962187731
1317551,1658408566970225731
1317831,1658408566974201731
1317499,1658408566978203731
1316124,1658408566982219731
1317939,1658408566990197731
1316677,1658408566994196731
1317468,1658408566998190731
1318076,1658408567006213731
1316908,1658408567010322731
1315964,1658408567014427731
1317573,1658408567018184731
1317896,1658408567026180731
1317228,1658408567030201731
1317072,1658408567034218731
1318288,1658408567038192731
1317496,1658408567046189731
1317829,1658408567050508731
1318121,1658408567054222731
1317937,1658408567058293731
1317794,1658408567066294731
1318031,1658408567070335731
1317791,1658408567074195731
1318081,1658408567078213731
1317094,1658408567086223731
1316981,1658408567090194731
1316186,1658408567094204731
1316913,1658408567098210731
1316843,1658408567106244731
1316281,1658408567110182731
1316600,1658408567114229731
1316990,1658408567118214731
1316799,1658408567126195731
1316826,1658408567130203731
1316307,1658408567134192731
1317685,1658408567138197731
1316444,1658408567146194731
1315655,1658408567150195731
1316183,1658408567154309731
1316318,1658408567158195731
1317087,1658408567166293731
1316308,1658408567170194731
1316722,1658408567174261731
1316852,1658408567178232731
1315827,1658408567186194731
1316752,1658408567190224731
1315642,1658408567194221731
1315372,1658408567198239731
1316678,1658408567206217731
1315251,1658408567210205731
1314869,1658408567214200731
1315957,1658408567218216731
1316427,1658408567226378731
1315206,1658408567230187731
1314816,1658408567234291731
1315570,1658408567238209731
1315029,1658408567246222731
1315997,1658408567250172731
1315375,1658408567254304731
1315142,1658408567258239731
1315057,1658408567266256731
1316324,1658408567270206731
1316502,1658408567274536731
1316412,1658408567278204731
1316547,1658408567286194731
1316857,1658408567290233731
1316068,1658408567294213731
1315723,1658408567298296731
1315508,1658408567306269731
1315734,1658408567310254731
1315158,1658408567314219731
1316303,1658408567318195731
1316201,1658408567326217731
1315271,1658408567330203731
1314536,1658408567334214731
1315917,1658408567338202731
1314960,1658408567346248731
1313804,1658408567350222731
1314120,1658408567354224731
1314958,1658408567358191731
1314764,1658408567366203731
1315568,1658408567370463731
1315282,1658408567374251731
1314459,1658408567378186731
1314191,1658408567386308731
1314061,1658408567390249731
1312961,1658408567394193731
1313999,1658408567398198731
1314955,1658408567406205731
1314296,1658408567410275731
1314367,1658408567414248731
1314995,1658408567418413731
1315256,1658408567426269731
1315195,1658408567430197731
1314183,1658408567434185731
1315793,1658408567438211731
1313615,1658408567446186731
1313136,1658408567450198731
1314132,1658408567454293731
1313893,1658408567458250731
1314376,1658408567466197731
1314999,1658408567470185731
1316165,1658408567474339731
1315168,1658408567478226731
1314348,1658408567486217731
1315088,1658408567490189731
1314146,1658408567494186731
1314183,1658408567498191731
1314509,1658408567506291731
1314507,1658408567510193731
1314978,1658408567514307731
1315069,1658408567518220731
1314893,1658408567526204731
1315032,1658408567530208731
1313502,1658408567534213731
1315608,1658408567538232731
1315088,1658408567546196731
1314987,1658408567550193731
1314902,1658408567554202731
1314526,1658408567558175731
1314255,1658408567566236731
1315876,1658408567570343731
1315404,1658408567574212731
1314805,1658408567578239731
1314153,1658408567586207731
1315208,1658408567590182731
1313793,1658408567594176731
1314384,1658408567598191731
1315186,1658408567606185731
1314398,1658408567610223731
1314872,1658408567614201731
1315629,1658408567618200731
1315551,1658408567626197731
1314175,1658408567630226731
1314394,1658408567634186731
1315310,1658408567638239731
1314432,1658408567646189731
1314847,1658408567650187731
1314417,1658408567654360731
1314339,1658408567658244731
1314206,1658408567666199731
1315136,1658408567670297731
1315817,1658408567674213731
1315627,1658408567678372731
1314764,1658408567686221731
1316573,1658408567690199731
1315113,1658408567694196731
1314569,1658408567698237731
1314533,1658408567706376731
1313730,1658408567710507731
1314669,1658408567714260731
1315446,1658408567718151731
1316161,1658408567726148731
1315443,1658408567730152731
1314458,1658408567734306731
1316419,1658408567738270731
1316033,1658408567746149731
1315583,1658408567750154731
1315719,1658408567754877731
1315755,1658408567762161731
1315658,1658408567766155731
1315039,1658408567770153731
1315566,1658408567774346731
1315890,1658408567782782731
1314212,1658408567786155731
1314939,1658408567790165731
1314629,1658408567794193731
1313868,1658408567802161731
1314493,1658408567806152731
1314686,1658408567810157731
1314933,1658408567814178731
1315226,1658408567822150731
1315047,1658408567826161731
1314075,1658408567830149731
1313981,1658408567834327731
1314791,1658408567842160731
1313219,1658408567846168731
1313658,1658408567850228731
1314921,1658408567854161731
1315389,1658408567862164731
1314992,1658408567866148731
1315748,1658408567870259731
1316025,1658408567874236731
1315692,1658408567882240731
1314779,1658408567886165731
1315959,1658408567890151731
1314282,1658408567894519731
1314296,1658408567902175731
1314274,1658408567906520731
1314213,1658408567910154731
1314479,1658408567914394731
1315445,1658408567922186731
1315261,1658408567926341731
1315068,1658408567930161731
1313859,1658408567934872731
1316460,1658408567942454731
1314516,1658408567946197731
1315281,1658408567950331731
1315092,1658408567954169731
1315020,1658408567963519731
1315158,1658408567966165731
1315297,1658408567970173731
1314875,1658408567974366731
1315582,1658408567982175731
1314745,1658408567986187731
1316040,1658408567990184731
1314736,1658408567994188731
1315037,1658408568002186731
1314929,1658408568006466731
1313501,1658408568010703731
1313857,1658408568014158731
1314943,1658408568022171731
1315488,1658408568026159731
1315380,1658408568030767731
1314371,1658408568034244731
1314821,1658408568042210731
1314479,1658408568046142731
1314352,1658408568050567731
1315552,1658408568054158731
1315330,1658408568062171731
1315156,1658408568066169731
1315965,1658408568070261731
1314933,1658408568074173731
1315248,1658408568082168731
1314231,1658408568086430731
1316013,1658408568090930731
1315812,1658408568094169731
1315135,1658408568102158731
1315326,1658408568106159731
1314424,1658408568110176731
1315095,1658408568114183731
1316125,1658408568122135731
1316103,1658408568126174731
1316037,1658408568130275731
1313685,1658408568134201731
1315273,1658408568142312731
1314910,1658408568146210731
