illuminance,timestamp [ns]
1865508,1658408567560894494
1866744,1658408567564838494
1866315,1658408567568807494
1866848,1658408567572813494
1865479,1658408567582084494
1864548,1658408567584854494
1864503,1658408567588837494
1864928,1658408567592812494
1864871,1658408567600823494
1865742,1658408567605020494
1865754,1658408567608805494
1866014,1658408567612842494
1865462,1658408567620886494
1864594,1658408567624980494
1864870,1658408567628896494
1863644,1658408567632874494
1864099,1658408567640815494
1865373,1658408567644819494
1864462,1658408567648817494
1865143,1658408567652804494
1863991,1658408567660832494
1865250,1658408567664915494
1865230,1658408567668812494
1864615,1658408567672805494
1865190,1658408567680954494
1863792,1658408567684862494
1863681,1658408567688815494
1865082,1658408567692809494
1865130,1658408567700852494
1865370,1658408567704813494
1865000,1658408567708898494
1866335,1658408567714102494
1865660,1658408567720859494
1865856,1658408567724822494
1865692,1658408567728840494
1864783,1658408567736284494
1865915,1658408567740819494
1866149,1658408567744834494
1864538,1658408567748893494
1865725,1658408567752804494
1865567,1658408567760808494
1865774,1658408567764844494
1866568,1658408567768806494
1866944,1658408567772870494
1866662,1658408567780878494
1865665,1658408567784896494
1866250,1658408567788923494
1866750,1658408567792889494
1865876,1658408567800799494
1868500,1658408567804815494
1866166,1658408567808808494
1867293,1658408567812878494
1867507,1658408567820811494
1866577,1658408567824815494
1867700,1658408567828840494
1866992,1658408567832810494
1867113,1658408567840836494
1866885,1658408567844805494
1866042,1658408567848819494
1867349,1658408567852798494
1868815,1658408567860828494
1868267,1658408567864808494
1868684,1658408567868881494
1868284,1658408567872816494
1868644,1658408567880833494
1867567,1658408567884821494
1867504,1658408567888805494
1868522,1658408567892802494
1867381,1658408567900809494
1868405,1658408567904842494
1868081,1658408567908795494
1868090,1658408567912812494
1869067,1658408567920830494
1868162,1658408567924812494
1868094,1658408567928821494
1867214,1658408567936817494
1866640,1658408567940797494
1867018,1658408567944808494
1867449,1658408567948805494
1868341,1658408567956796494
1867753,1658408567960825494
1868627,1658408567964987494
1867781,1658408567968812494
1868711,1658408567976827494
1868192,1658408567980808494
1866680,1658408567984830494
1867711,1658408567988885494
1868666,1658408567996815494
1866654,1658408568000809494
1868298,1658408568004817494
1867727,1658408568008904494
1868801,1658408568016811494
1868493,1658408568020828494
1868680,1658408568024821494
1868897,1658408568028820494
1868629,1658408568036808494
1868945,1658408568040806494
1868787,1658408568044816494
1868319,1658408568048832494
1869158,1658408568056816494
1868430,1658408568060808494
1868236,1658408568064917494
1867847,1658408568068946494
