client_id,round,flops
5f9cd2eb,1,574599936.0
ddedba85,1,708410880.0
893705bb,1,826479360.0
cce7416f,1,787123200.0
ef3367d9,1,582471168.0
b5cf6ea8,2,696604032.0
893705bb,2,826479360.0
cce7416f,2,787123200.0
2aca1e72,2,739895808.0
5f9cd2eb,2,574599936.0
ddedba85,3,708410880.0
b5cf6ea8,3,696604032.0
2aca1e72,3,739895808.0
cce7416f,3,787123200.0
ef3367d9,3,582471168.0
5f9cd2eb,4,574599936.0
c1d39ce8,4,645441024.0
cce7416f,4,787123200.0
893705bb,4,826479360.0
4c6167ca,4,582471168.0
b5cf6ea8,5,696604032.0
ddedba85,5,708410880.0
cce7416f,5,787123200.0
4c6167ca,5,582471168.0
893705bb,5,826479360.0
5f9cd2eb,6,574599936.0
b5cf6ea8,6,696604032.0
893705bb,6,826479360.0
ef3367d9,6,582471168.0
cce7416f,6,787123200.0
2aca1e72,7,739895808.0
893705bb,7,826479360.0
4c6167ca,7,582471168.0
cce7416f,7,787123200.0
ef3367d9,7,582471168.0
b5cf6ea8,8,696604032.0
cce7416f,8,787123200.0
c50f55b8,8,991775232.0
5f9cd2eb,8,574599936.0
2aca1e72,8,739895808.0
5f9cd2eb,9,574599936.0
ef3367d9,9,582471168.0
ddedba85,9,708410880.0
4c6167ca,9,582471168.0
893705bb,9,826479360.0
b5cf6ea8,10,696604032.0
893705bb,10,826479360.0
c50f55b8,10,991775232.0
cce7416f,10,787123200.0
ef3367d9,10,582471168.0
ef3367d9,11,582471168.0
5f9cd2eb,11,574599936.0
c50f55b8,11,991775232.0
4c6167ca,11,582471168.0
893705bb,11,826479360.0
c1d39ce8,12,645441024.0
5f9cd2eb,12,574599936.0
ddedba85,12,708410880.0
893705bb,12,826479360.0
cce7416f,12,787123200.0
5f9cd2eb,13,574599936.0
ef3367d9,13,582471168.0
c1d39ce8,13,645441024.0
ddedba85,13,708410880.0
893705bb,13,826479360.0
5f9cd2eb,14,574599936.0
c1d39ce8,14,645441024.0
b5cf6ea8,14,696604032.0
ddedba85,14,708410880.0
893705bb,14,826479360.0
b5cf6ea8,15,696604032.0
ddedba85,15,708410880.0
c50f55b8,15,991775232.0
4c6167ca,15,582471168.0
893705bb,15,826479360.0
4c6167ca,16,582471168.0
ef3367d9,16,582471168.0
b5cf6ea8,16,696604032.0
c1d39ce8,16,645441024.0
c50f55b8,16,991775232.0
ddedba85,17,708410880.0
b5cf6ea8,17,696604032.0
cce7416f,17,787123200.0
893705bb,17,826479360.0
4c6167ca,17,582471168.0
ddedba85,18,708410880.0
893705bb,18,826479360.0
4c6167ca,18,582471168.0
c50f55b8,18,991775232.0
c1d39ce8,18,645441024.0
c1d39ce8,19,645441024.0
b5cf6ea8,19,696604032.0
ddedba85,19,708410880.0
893705bb,19,826479360.0
4c6167ca,19,582471168.0
5f9cd2eb,20,574599936.0
c1d39ce8,20,645441024.0
893705bb,20,826479360.0
cce7416f,20,787123200.0
ef3367d9,20,582471168.0
