client_id,round,flops
5f9cd2eb,1,574599936.0
ddedba85,1,708410880.0
893705bb,1,826479360.0
cce7416f,1,787123200.0
ef3367d9,1,582471168.0
b5cf6ea8,2,696604032.0
cce7416f,2,787123200.0
893705bb,2,826479360.0
2aca1e72,2,739895808.0
5f9cd2eb,2,574599936.0
ddedba85,3,708410880.0
b5cf6ea8,3,696604032.0
2aca1e72,3,739895808.0
cce7416f,3,787123200.0
ef3367d9,3,582471168.0
c1d39ce8,4,645441024.0
5f9cd2eb,4,574599936.0
cce7416f,4,787123200.0
893705bb,4,826479360.0
4c6167ca,4,582471168.0
b5cf6ea8,5,696604032.0
ddedba85,5,708410880.0
cce7416f,5,787123200.0
4c6167ca,5,582471168.0
893705bb,5,826479360.0
5f9cd2eb,6,574599936.0
b5cf6ea8,6,696604032.0
893705bb,6,826479360.0
ef3367d9,6,582471168.0
cce7416f,6,787123200.0
2aca1e72,7,739895808.0
893705bb,7,826479360.0
4c6167ca,7,582471168.0
cce7416f,7,787123200.0
ef3367d9,7,582471168.0
b5cf6ea8,8,696604032.0
cce7416f,8,787123200.0
c50f55b8,8,991775232.0
5f9cd2eb,8,574599936.0
2aca1e72,8,739895808.0
5f9cd2eb,9,574599936.0
ef3367d9,9,582471168.0
ddedba85,9,708410880.0
4c6167ca,9,582471168.0
893705bb,9,826479360.0
b5cf6ea8,10,696604032.0
893705bb,10,826479360.0
c50f55b8,10,991775232.0
cce7416f,10,787123200.0
ef3367d9,10,582471168.0
ef3367d9,11,582471168.0
5f9cd2eb,11,574599936.0
c50f55b8,11,991775232.0
4c6167ca,11,582471168.0
893705bb,11,826479360.0
5f9cd2eb,12,574599936.0
c1d39ce8,12,645441024.0
ddedba85,12,708410880.0
893705bb,12,826479360.0
cce7416f,12,787123200.0
5f9cd2eb,13,574599936.0
ef3367d9,13,582471168.0
c1d39ce8,13,645441024.0
ddedba85,13,708410880.0
893705bb,13,826479360.0
5f9cd2eb,14,574599936.0
c1d39ce8,14,645441024.0
b5cf6ea8,14,696604032.0
ddedba85,14,708410880.0
893705bb,14,826479360.0
b5cf6ea8,15,696604032.0
ddedba85,15,708410880.0
c50f55b8,15,991775232.0
4c6167ca,15,582471168.0
893705bb,15,826479360.0
4c6167ca,16,582471168.0
ef3367d9,16,582471168.0
b5cf6ea8,16,696604032.0
c1d39ce8,16,645441024.0
c50f55b8,16,991775232.0
ddedba85,17,708410880.0
b5cf6ea8,17,696604032.0
cce7416f,17,787123200.0
893705bb,17,826479360.0
4c6167ca,17,582471168.0
ddedba85,18,708410880.0
893705bb,18,826479360.0
4c6167ca,18,582471168.0
c50f55b8,18,991775232.0
c1d39ce8,18,645441024.0
c1d39ce8,19,645441024.0
b5cf6ea8,19,696604032.0
ddedba85,19,708410880.0
893705bb,19,826479360.0
4c6167ca,19,582471168.0
5f9cd2eb,20,574599936.0
c1d39ce8,20,645441024.0
893705bb,20,826479360.0
cce7416f,20,787123200.0
ef3367d9,20,582471168.0
ddedba85,21,708410880.0
2aca1e72,21,739895808.0
cce7416f,21,787123200.0
4c6167ca,21,582471168.0
893705bb,21,826479360.0
4c6167ca,22,582471168.0
5f9cd2eb,22,574599936.0
ddedba85,22,708410880.0
cce7416f,22,787123200.0
c50f55b8,22,991775232.0
ddedba85,23,708410880.0
2aca1e72,23,739895808.0
893705bb,23,826479360.0
cce7416f,23,787123200.0
ef3367d9,23,582471168.0
5f9cd2eb,24,574599936.0
ddedba85,24,708410880.0
cce7416f,24,787123200.0
893705bb,24,826479360.0
c50f55b8,24,991775232.0
b5cf6ea8,25,696604032.0
ddedba85,25,708410880.0
893705bb,25,826479360.0
c50f55b8,25,991775232.0
c1d39ce8,25,645441024.0
5f9cd2eb,26,574599936.0
ddedba85,26,708410880.0
893705bb,26,826479360.0
cce7416f,26,787123200.0
ef3367d9,26,582471168.0
cce7416f,27,787123200.0
5f9cd2eb,27,574599936.0
2aca1e72,27,739895808.0
4c6167ca,27,582471168.0
893705bb,27,826479360.0
c50f55b8,28,991775232.0
cce7416f,28,787123200.0
ef3367d9,28,582471168.0
893705bb,28,826479360.0
4c6167ca,28,582471168.0
ef3367d9,29,582471168.0
ddedba85,29,708410880.0
b5cf6ea8,29,696604032.0
893705bb,29,826479360.0
c50f55b8,29,991775232.0
ddedba85,30,708410880.0
2aca1e72,30,739895808.0
cce7416f,30,787123200.0
c1d39ce8,30,645441024.0
c50f55b8,30,991775232.0
c1d39ce8,31,645441024.0
5f9cd2eb,31,574599936.0
2aca1e72,31,739895808.0
ef3367d9,31,582471168.0
cce7416f,31,787123200.0
ddedba85,32,708410880.0
2aca1e72,32,739895808.0
cce7416f,32,787123200.0
4c6167ca,32,582471168.0
893705bb,32,826479360.0
c1d39ce8,33,645441024.0
b5cf6ea8,33,696604032.0
2aca1e72,33,739895808.0
893705bb,33,826479360.0
cce7416f,33,787123200.0
b5cf6ea8,34,696604032.0
ddedba85,34,708410880.0
2aca1e72,34,739895808.0
c50f55b8,34,991775232.0
c1d39ce8,34,645441024.0
ddedba85,35,708410880.0
893705bb,35,826479360.0
4c6167ca,35,582471168.0
c50f55b8,35,991775232.0
c1d39ce8,35,645441024.0
ef3367d9,36,582471168.0
5f9cd2eb,36,574599936.0
b5cf6ea8,36,696604032.0
893705bb,36,826479360.0
c50f55b8,36,991775232.0
4c6167ca,37,582471168.0
ef3367d9,37,582471168.0
5f9cd2eb,37,574599936.0
c1d39ce8,37,645441024.0
ddedba85,37,708410880.0
ef3367d9,38,582471168.0
b5cf6ea8,38,696604032.0
ddedba85,38,708410880.0
2aca1e72,38,739895808.0
893705bb,38,826479360.0
